departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo
antioquia,pepino cohombro,35,2007,2024,18,1,97.22222222222221,21627.16,617.9188571428572,30.367999999999995,28.29085714285714,20.932136441339434,0.761794362059283,470.7271015815441,0.732361882043489,0.3686979482473701,65.53577509897248,0.5492605376600368,3.544879825314499e-07,3.1875797339975995,0.5821007939784196,0.5123208567850771,1.7352100158315218e-05,0.6593523829430085,3.852518236559938e-08,18,17,17,639.7933333333334,594.7576470588235,1.0757210714266876,45.035686274509885,47.05882352941176,0.044678564981404524,0.15017408413556602
caldas,patilla,24,2007,2024,18,12,66.66666666666666,21299.6,887.4833333333332,43.041666666666664,42.541666666666664,14.744907407407405,4.523508397480625,4014.5383109574295,4.241148914409946,0.7139704940468287,-135.39598907047483,0.02997761903771358,0.4184756199523536,-5.798937980100016,0.026595519416388356,-0.2647345100372679,0.07334183311792497,0.1208588838002806,0.4233241615420891,13,11,10,57.61538461538461,1868.2363636363634,0.030839451440309813,-1810.620979020979,0.0,0.8587308144232424,0.263014574837113
norte de santander,arveja,35,2007,2024,18,1,97.22222222222221,20870.91,596.3117142857143,303.1028571428571,292.46000000000004,2.053305976943769,0.5295422876918956,315.77226936033315,0.4962592259125085,0.1656684643851185,15.846369971679795,0.07136274211524954,0.12081542245666298,9.820423172160199,0.12078780248343357,0.34650979454569036,0.0034358271863296915,0.5584526785882,2.4129446325063206e-06,18,17,17,637.3605555555555,552.8482352941177,1.1528671249470064,84.51232026143782,47.05882352941176,0.036354376466477434,0.3037951755849065
norte de santander,repollo,35,2007,2024,18,1,97.22222222222221,20846.75,595.6214285714286,42.91428571428571,40.68571428571428,15.126504726465695,0.35126115018669113,209.21866807584013,0.40115108049828,0.1466682104237641,16.171051851192864,0.16929167291091723,0.014063678846565168,2.176778909597735,0.4530737031371942,0.30756302521008405,0.009353334884500302,0.5320251856575409,8.997562662436685e-06,18,17,17,656.1972222222222,531.4823529411765,1.23465476998603,124.71486928104571,47.05882352941176,0.03199597506239692,0.32064196932695327
bolivar,ajonjoli,35,2007,2024,18,1,97.22222222222221,20773.65,593.5328571428572,936.3714285714286,796.0828571428572,0.7757384808697689,0.6047179475938629,358.91997120095004,0.5849753343317348,0.16974639180479034,3.9487448660350237,0.0034299107813556893,0.7382424534055845,7.611820352000957,0.005472245428794983,-0.01345669105031807,0.9095367216432657,-0.006728345525159035,0.954695387014737,18,17,17,520.2055555555556,671.1735294117648,0.775068641356399,-150.96797385620914,35.294117647058826,0.038721019648026565,0.2887752369291305
tolima,cebolla de rama,34,2007,2024,18,2,94.44444444444444,20763.5,610.6911764705883,75.83823529411765,70.82352941176471,8.981826909040725,0.5923045615430921,361.71516951764687,0.46366051742573916,0.47444986630598274,40.381782020684156,0.3490759630055805,0.00023424567970141015,1.1576133651551315,0.030355180908499153,0.2976827094474154,0.013298195121687346,0.19857014391773825,0.09971498761964913,18,16,16,637.5277777777778,580.5,1.0982390659393244,57.02777777777783,56.25,0.03942665647890736,0.28987950216277486
norte de santander,apio,35,2007,2024,18,1,97.22222222222221,19965.0,570.4285714285714,42.51428571428571,42.34285714285714,13.794642857142858,0.2555907194851974,145.79624898634188,0.31923312168917983,0.08894424146312398,20.71823614014798,0.5722328417390902,1.4678401358672336e-07,1.9864774698634406,0.6070738803342318,0.6259024075937806,2.690827390541999e-07,0.6386637053837023,1.4745214395942425e-07,18,17,17,604.6666666666666,534.1764705882352,1.1319605036156077,70.49019607843138,35.294117647058826,0.03038457546135238,0.41547690060674053
cauca,patilla,35,2007,2024,18,1,97.22222222222221,19964.9,570.4257142857143,56.457142857142856,47.94285714285714,11.293799599079728,0.9615643549752991,548.5010340184672,0.578330100406165,0.34803439881594833,77.08801061637236,0.5597301465978027,2.3849259822420503e-07,5.402606645611851,0.7758490542773956,0.5740748875898354,1.2746558150286833e-06,0.6616092650056951,2.55075301115081e-08,18,17,17,592.4166666666666,547.1411764705882,1.082749191877925,45.27549019607841,58.82352941176471,0.054233962692088286,0.263014574837113
cordoba,aji,30,2009,2024,16,2,93.75,19702.35,656.745,102.61833333333333,87.59833333333333,7.116404201626727,0.7442751545390494,488.798986367748,0.525936783867654,0.31567444930177496,-13.040445605244916,0.015348325517732544,0.5142390504674967,1.9675283833484352,0.02865904648544943,-0.05287356321839081,0.6971651256176505,0.14763640862887104,0.25329961430664916,16,14,14,798.149375,495.14,1.6119670699196187,303.009375,85.71428571428571,0.05118268851584407,0.20793444438942935
putumayo,frijol,27,2007,2024,18,9,75.0,19512.9,722.7,494.4962962962963,399.3111111111111,1.7408886601383269,0.8217645010325949,593.8892048962564,0.5690064993663035,0.37837187320111315,33.29854042165598,0.10078836108695424,0.10660686644177578,10.938327816408595,0.0484520525915568,0.2282455960058202,0.09529283802345664,0.21683331620552923,0.1130323417882313,14,13,10,532.0571428571428,928.0076923076923,0.5733326859975345,-395.9505494505495,50.0,0.061121699964459666,0.09998560464958732
