departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo,escala_cuartiles_prod,es_gran_escala_cuartil,cluster_escala,escala_productiva
magdalena,aji,35,2007,2024,18,1,97.2222222222222,162607.18000000002,4645.919428571429,689.3594285714287,564.2099999999999,7.8904084783754,0.5303983155518653,2464.187839103971,0.2889243425477621,0.2305064893480499,190.4909144017912,0.1693404994647973,0.0140484579821058,4.69183962753733,0.0157248508194872,0.2403361344537815,0.0422748016420176,0.0319327731092436,0.7872931892354373,18,17,17,4769.197777777777,4515.389411764706,1.0562096295286918,253.80836601307143,64.70588235294117,0.0363795597443009,0.2079344443894293,Q4_gran_escala,1,0,Pequeña
magdalena,ahuyama,33,2007,2024,18,3,91.66666666666666,160956.11,4877.457878787878,584.9881818181818,491.2121212121212,11.444486645494967,0.702521186115612,3426.517494234997,0.693184434658496,0.3872669093052244,416.2564612769576,0.3946403284840176,9.068062143120185e-05,65.62411558482953,0.7003587084253932,0.4772727272727272,5.3948948132773416e-05,0.6502372589283282,1.0652759258375093e-07,17,16,15,5345.906470588236,4379.731250000001,1.2206014856706642,966.1752205882348,60.0,0.0448054660625538,0.0821380302774234,Q4_gran_escala,1,0,Pequeña
huila,melon,35,2007,2024,18,1,97.2222222222222,160107.41000000003,4574.49742857143,244.7105714285714,240.3162857142857,18.26868062804519,0.7570021264788594,3462.9042810006467,0.7013433756722449,0.0954405936749818,614.9337000133451,0.8935843151704042,1.2821910141772844e-17,30.49534288213752,0.8946642917160319,0.8016806722689076,1.2519770958201836e-11,0.7962974247213847,1.8343787835216462e-11,18,17,17,4815.006111111111,4319.841176470589,1.1146257268294024,495.164934640522,58.82352941176471,0.0444765513981873,0.1195484664930085,Q4_gran_escala,1,0,Pequeña
cesar,melon,33,2007,2024,18,3,91.66666666666666,158077.32,4790.221818181818,330.69393939393944,298.0284848484848,13.663172149572777,1.3551641754842705,6491.537000623126,0.7264218746624219,0.7296396166756389,212.8343662888444,0.0281548450024649,0.3506249381594954,13.652405228049249,0.0845965685886055,0.3355451744324025,0.0060910298397231,0.2201142482679994,0.0722113183440394,18,15,15,5530.095555555556,3902.373333333333,1.4171108408102646,1627.7222222222222,80.0,0.0842672526726453,0.1195484664930085,Q4_gran_escala,1,0,Pequeña
caldas,papa,35,2007,2024,18,1,97.2222222222222,154402.0,4411.4857142857145,338.37142857142857,311.48571428571427,14.332332982448529,0.5013238855812927,2211.583159472079,0.4541103371279342,0.1794414477497189,14.01742211941939,0.0011383863468976,0.8474180973585504,-3.010186379609449,0.0108751824057713,0.0285714285714285,0.8092262462292724,-0.1092436974789916,0.3559586988465744,18,17,17,5938.833333333333,2794.294117647059,2.125342960795458,3144.539215686274,94.11764705882352,0.0355469973066506,0.2770636521713945,Q4_gran_escala,1,0,Pequeña
putumayo,maiz,35,2007,2024,18,1,97.2222222222222,154177.71,4405.077428571429,3686.758,3410.941142857143,1.2792535865464334,0.4263867468489622,1878.2666343863632,0.3811626183617823,0.1958519888908927,17.996076390433416,0.0026013637963859,0.7710726415537777,-59.17083403763179,0.0502418287822026,0.0554621848739495,0.6393217922234354,-0.1361344537815126,0.2500137448288274,18,17,17,5118.693333333333,3649.484117647059,1.4025799724903367,1469.2092156862736,88.23529411764706,0.03361746315772,0.09355481422716,Q4_gran_escala,1,0,Pequeña
santander,frijol,35,2007,2024,18,1,97.2222222222222,153961.91,4398.911714285714,3888.098571428572,3564.4614285714283,1.2576842862359314,0.19152772061304,842.5135338151433,0.2194814475419226,0.1519818236167414,-30.308034488382795,0.036670910819173,0.2704608838217359,-99.97921429948256,0.3889638115027686,-0.0890756302521008,0.4516446963045264,-0.4319327731092437,0.000262477227264,18,17,17,4678.948333333334,4102.402352941176,1.1405386236625008,576.5459803921576,82.35294117647058,0.0295895653093466,0.0999856046495873,Q4_gran_escala,1,0,Pequeña
guaviare,arroz,33,2007,2024,18,3,91.66666666666666,152585.80000000002,4623.812121212121,1506.060606060606,1367.121212121212,3.5291691854656486,0.7725190014215452,3571.9827226396246,0.7748755617206686,0.2193046201892836,217.92857366313143,0.1025338021491708,0.0692623865582152,64.44282104611786,0.0839958191902009,0.3052134072520724,0.0125992651323761,0.2938389945594486,0.0163091718777549,18,15,15,5201.116111111111,3931.047333333333,1.323086615367926,1270.0687777777775,73.33333333333333,0.0478394301577914,0.1516991903190055,Q4_gran_escala,1,0,Pequeña
valle del cauca,cebolla de rama,25,2007,2024,18,11,69.44444444444444,151578.04,6063.1216,344.616800880088,336.840800880088,18.47257718247665,0.6208729402296949,3764.428134762172,0.4897819675517618,0.6820379670088573,124.60356166625748,0.0334686785213627,0.3814037126718216,-6.900565498620953,0.0510583248717567,0.1599999999999999,0.2754679824737747,-0.1368950154753064,0.3381560745567471,18,7,7,6958.385555555556,3761.014285714286,1.8501353695959253,3197.3712698412696,85.71428571428571,0.0548025551837235,0.2898795021627748,Q4_gran_escala,1,0,Pequeña
cundinamarca,cilantro,35,2007,2024,18,1,97.2222222222222,147268.61,4207.674571428571,379.8691428571429,351.954,11.672850768841627,0.4898572255038128,2061.159791382944,0.2926738227517292,0.2881104748418924,273.51649956259365,0.4990035775915159,2.117876612252912e-06,13.7596972258055,0.4340521228447977,0.6470588235294117,4.562950714604646e-08,0.5260504201680672,8.787215107542536e-06,18,17,17,4458.352222222222,3942.2511764705887,1.1309153127613971,516.1010457516331,58.82352941176471,0.0352315456709077,0.1839147916650591,Q4_gran_escala,1,0,Pequeña
